model,threshold,oof_margin_correlation,neural_selection_fraction,selected_neural_win_rate,mean_macro_chrfpp,mean_worst_dialect_chrfpp,mean_corpus_chrfpp,mean_exact_match
extra_leaf8,-4.0,0.5872616614442574,0.4586539208828787,0.5416419554350589,52.66700837450551,34.85107579111115,59.45202962696677,0.12535944664645993
extra_leaf8,-3.0,0.5872616614442574,0.4323463122717028,0.547096890167176,52.65615178367303,34.70049108370523,59.511648592652335,0.12567031942177664
extra_leaf8,-2.0,0.5872616614442574,0.4072821947617937,0.5547180612536972,52.64899568716643,34.58462688402639,59.58353596839576,0.12621434677858087
extra_leaf8,-1.0,0.5872616614442574,0.3770886764591591,0.564921681780709,52.600903285290066,34.650457346195196,59.597358344370484,0.12668065594155592
extra_leaf8,0.0,0.5872616614442574,0.32785420066837645,0.609932440440915,52.59642131883993,34.52498266235006,59.622552699877424,0.1274189787829331
extra_leaf8,1.0,0.5872616614442574,0.2659905183803528,0.6841490138787436,52.48878333424739,34.45148766337303,59.56778837093165,0.12586461490634956
extra_leaf8,2.0,0.5872616614442574,0.2354084091085723,0.697259821723341,52.40409473046777,34.28606154154212,59.485006089474126,0.12559260122794746
extra_leaf8,3.0,0.5872616614442574,0.20653610010103365,0.7128880526810912,52.18075715221111,33.745902982807365,59.32480634903058,0.12314447812232844
extra_leaf8,4.0,0.5872616614442574,0.18030620968368696,0.7351293103448275,52.05491079988017,33.5218748295189,59.2308546436114,0.12228957799020751
extra_leaf8,5.0,0.5872616614442574,0.15769021527939692,0.7498767865943815,51.88165931896713,32.92530480162802,59.114220122124046,0.12155125514883035
extra_leaf8,6.0,0.5872616614442574,0.13662858475169037,0.7610921501706485,51.69470781826552,32.58934035154786,58.93555713404013,0.11929742752778423
extra_leaf8,7.0,0.5872616614442574,0.11393487215357115,0.7725102319236017,51.49794178105299,32.355755867861554,58.7055306589626,0.11583896790238596
extra_leaf8,8.0,0.5872616614442574,0.09555451931297117,0.7824318828792192,51.242037426298054,32.046069150505325,58.51758813672893,0.11230279008315847
extra_leaf8,9.0,0.5872616614442574,0.08140980803606124,0.7966587112171838,51.06992819839255,31.518844120540496,58.387108886416904,0.10993238517136861
extra_leaf8,10.0,0.5872616614442574,0.06924691070179528,0.7996632996632996,50.89348067254915,31.48668030547287,58.25891593981729,0.10686251651511619
extra_leaf8,11.0,0.5872616614442574,0.0565788451076397,0.8104395604395604,50.67766294403278,31.332066404984797,58.084536292301436,0.10355949327737624
extra_leaf8,12.0,0.5872616614442574,0.046630916297505244,0.82,50.57252330156566,31.213924930104955,57.9470935711941,0.1014222429470739
extra_leaf8,13.0,0.5872616614442574,0.04150151550477967,0.8183520599250936,50.51507524225241,31.0391511827747,57.846939105916384,0.10045076552420922
extra_leaf8,14.0,0.5872616614442574,0.03551721457993316,0.8260393873085339,50.43709793074663,30.773153845857838,57.784671248124006,0.09936271081060077
extra_leaf8,15.0,0.5872616614442574,0.0306598274656097,0.8314321926489227,50.367183089969366,30.694628898382813,57.713582117028466,0.09804150151550477
extra_leaf8,16.0,0.5872616614442574,0.02657962228957799,0.8289473684210527,50.321438514165,30.694018738391886,57.64706626624855,0.09633170125126293
