alpha_neural,mean_regional_macro_f1,mean_macro_f1_13,mean_accuracy,mean_worst_present_dialect_f1,mean_ece_15
0.0,0.7733845321121686,0.7837962622744213,0.8549521390896659,0.41379310344827586,0.011328622643751148
0.025,0.7750089152028782,0.7852897078079529,0.8559614508041936,0.41909479409479417,0.009281194675509403
0.05,0.7784840887745151,0.7885232324680244,0.8577358859152179,0.4224013792675764,0.011736478550376935
0.07500000000000001,0.7805873682967278,0.7905693688788057,0.8595428794686462,0.4245373828382519,0.01394430547276878
0.1,0.7821373823878849,0.7921343371794135,0.861187080810054,0.4236565711927596,0.015896615383936764
0.125,0.7839152533323235,0.7938718728091212,0.8627010483818455,0.42374501979907153,0.01880204544198871
0.15000000000000002,0.7858584174680417,0.7957508703926964,0.864263853617243,0.4251647568823136,0.02185360041324125
0.17500000000000002,0.7875421714368956,0.7974108315755927,0.8659406134010549,0.42616021355147443,0.024890990941905524
0.2,0.7881874472721263,0.7981280132998996,0.8669173666731784,0.42471256506533067,0.027182429077657614
0.225,0.7891271841642086,0.7990863593236415,0.8680243537149183,0.4218033380804134,0.029551780272028278
0.25,0.7897334981214046,0.7997181857191831,0.8691313407566582,0.4151556278039259,0.031592930205201264
0.275,0.7917486902303744,0.80173134001038,0.8707592628768639,0.42310317257178715,0.03424570062000221
0.30000000000000004,0.7942680265197977,0.8041287380315728,0.8723057888910595,0.4312637913986925,0.036826138661506476
0.325,0.7958302426611343,0.805665560957626,0.8731360291723643,0.43882059787604916,0.03855502910127046
0.35000000000000003,0.7973888676092636,0.8072023893199338,0.8742755746565085,0.44562457315719833,0.04042680949458352
0.375,0.7982191458318134,0.8080439477083249,0.8750732564954092,0.44444415345600935,0.04160983556068291
0.4,0.800088636497794,0.8098616280228464,0.8759034967767142,0.45671427808832393,0.0426596966623308
0.42500000000000004,0.8008737673741632,0.8106688457012585,0.8767988539428274,0.4508263131317245,0.0440130875088335
0.45,0.8003915199740707,0.8102128960114344,0.8763430357491697,0.45257464560074956,0.0435847461858859
0.47500000000000003,0.8002566001654289,0.810077605468485,0.8759197759979163,0.4564075344014125,0.04322632847874239
0.5,0.7975547551840126,0.8075958681122568,0.8745360421957414,0.45036445544251347,0.0415953984265684
0.525,0.7954231907140307,0.8055880525454268,0.8731360291723643,0.4471593831380849,0.03962211599110855
0.55,0.7929934387865917,0.8033266090255963,0.8712313602917235,0.45380415662137485,0.038077192136552494
0.5750000000000001,0.7916590806230578,0.8020486785611395,0.8697662303835386,0.4564035068821684,0.03632337587104602
0.6000000000000001,0.7898770091381642,0.8003778415844766,0.8681383082633326,0.4625161398449648,0.035277175138844666
0.625,0.7878482124089771,0.7984782995952208,0.8666243406915412,0.46245150798382983,0.03440996321644841
0.65,0.7863059216886455,0.7970036595997744,0.8652894445529725,0.46381940478591294,0.03299549970732
0.675,0.7844902926509837,0.795249624432055,0.8636940808751709,0.4662105723360637,0.03278308629770821
0.7000000000000001,0.7813045059195827,0.7922879483533688,0.8619847626489548,0.45765222544169815,0.033609734938817755
0.7250000000000001,0.7792968774423078,0.7904013677328421,0.8605684704043758,0.4549638739553951,0.03381142673930768
0.75,0.777343355296904,0.7885459042984203,0.8590707820537865,0.45660688517831377,0.03391223664651851
0.775,0.7751214517499037,0.7864417015250024,0.8577358859152177,0.455917874731147,0.03437997483872542
0.8,0.7730587068473956,0.7845128456297911,0.856075405352608,0.4593002637177002,0.036015435253139806
0.8250000000000001,0.7717499869593819,0.7832633372017882,0.8550335351956763,0.45785552247868394,0.037192100905216414
0.8500000000000001,0.7701118188137072,0.7817064610562969,0.8536335221722992,0.4600692810388208,0.03844078412395949
0.875,0.7684612709702611,0.7801523569599018,0.8525265351305594,0.4570070930455093,0.040079985953838014
0.9,0.7674290274309148,0.7791779754339977,0.8514846649736277,0.4583448821351339,0.04096702452497201
0.925,0.7659186645453299,0.7777412910257854,0.8504916324803021,0.45622782040691606,0.040475000512973515
0.9500000000000001,0.7643621555067474,0.776271815633396,0.8496288337565931,0.45384146987583834,0.041886402753331574
0.9750000000000001,0.7628784173285554,0.7748677517037758,0.8484730090512468,0.4544884217739458,0.043442260751449975
1.0,0.7618263602680023,0.7738838443447605,0.8474311388943153,0.46133637664326405,0.04212288931251601
