alpha_neural,variant,seed,accuracy,balanced_accuracy,macro_f1_13,regional_macro_f1,weighted_f1,mcc,ece_15,brier,worst_present_dialect_f1,examples
0.0,M0,1701,0.8549521390896659,0.7712548801735394,0.7837962622744212,0.7733845321121686,0.8539695652427203,0.832722290435838,0.011328622643751148,0.20879059880983383,0.41379310344827586,10238.0
0.0,M0,2903,0.8549521390896659,0.7712548801735394,0.7837962622744212,0.7733845321121686,0.8539695652427203,0.832722290435838,0.011328622643751148,0.20879059880983383,0.41379310344827586,10238.0
0.0,M0,4307,0.8549521390896659,0.7712548801735394,0.7837962622744212,0.7733845321121686,0.8539695652427203,0.832722290435838,0.011328622643751148,0.20879059880983383,0.41379310344827586,10238.0
0.0,M1,1701,0.8549521390896659,0.7712548801735394,0.7837962622744212,0.7733845321121686,0.8539695652427203,0.832722290435838,0.011328622643751148,0.20879059880983383,0.41379310344827586,10238.0
0.0,M1,2903,0.8549521390896659,0.7712548801735394,0.7837962622744212,0.7733845321121686,0.8539695652427203,0.832722290435838,0.011328622643751148,0.20879059880983383,0.41379310344827586,10238.0
0.0,M1,4307,0.8549521390896659,0.7712548801735394,0.7837962622744212,0.7733845321121686,0.8539695652427203,0.832722290435838,0.011328622643751148,0.20879059880983383,0.41379310344827586,10238.0
0.025,M0,1701,0.8561242430162141,0.7718722750619329,0.785256774455775,0.774920900908803,0.8550764487132801,0.8340631838973853,0.009982022450661081,0.20615477466998636,0.4195804195804196,10238.0
0.025,M0,2903,0.8559288923617894,0.7719747086858274,0.7850099040980555,0.7746730935210752,0.8548867520852421,0.8338417947020642,0.008876398187297544,0.20602038821374954,0.4195804195804196,10238.0
0.025,M0,4307,0.8559288923617894,0.7710948637176862,0.7850252521151119,0.774702802629598,0.8548628641685279,0.833824005614884,0.009627925777783129,0.2060116412343283,0.4195804195804196,10238.0
0.025,M1,1701,0.8557335417073647,0.7713671816553096,0.7845582071810925,0.7742654926809699,0.8546769308443398,0.8336071679211926,0.008290032222369095,0.20598661046959416,0.4166666666666667,10238.0
0.025,M1,2903,0.8558312170345771,0.7720557226559457,0.785788022186969,0.7756174326983768,0.8548354206884805,0.8337341574235418,0.009370913222293428,0.20598698394806714,0.4195804195804196,10238.0
0.025,M1,4307,0.8562219183434264,0.7723487018742422,0.786100086810714,0.7758737687784464,0.8552149703733337,0.8341796532384238,0.009539876192652138,0.20612818341174177,0.4195804195804196,10238.0
0.05,M0,1701,0.8574916975971869,0.7746217758094402,0.7875312205017837,0.7774045196251141,0.8564445908478451,0.8356438482110622,0.01244758244394388,0.20367420938738948,0.4166666666666667,10238.0
0.05,M0,2903,0.8572963469427622,0.7745857116806639,0.7879633909355572,0.7778694310892779,0.8562337360619313,0.8354105496244991,0.01233069439480399,0.20340945035012767,0.4225352112676056,10238.0
0.05,M0,4307,0.8579800742332487,0.7745356753736024,0.7886280157647503,0.7785567095966619,0.8569111048477663,0.8361874028397519,0.012577855972885221,0.20338862257031384,0.4225352112676056,10238.0
0.05,M1,1701,0.8579800742332487,0.7753525575955827,0.7889224021944927,0.7789900657078245,0.8569336934931264,0.8361997926736399,0.010285539639350116,0.20334071403109796,0.4225352112676056,10238.0
0.05,M1,2903,0.8575893729243993,0.7750766340279905,0.7884844670471094,0.7784502854725953,0.8565802821184716,0.8357633666425296,0.011278525200563586,0.20334457132690484,0.4195804195804196,10238.0
0.05,M1,4307,0.858077749560461,0.7759568254152884,0.7896098983644525,0.7796335211556181,0.857092670445515,0.8363140825910108,0.011498673650714811,0.2036169287164005,0.4305555555555556,10238.0
0.07500000000000001,M0,1701,0.8591521781597968,0.7760028924745517,0.7896605394433561,0.7796000405979336,0.8581032133564649,0.837559929277952,0.01403072272260255,0.20134890296204325,0.4195804195804196,10238.0
0.07500000000000001,M0,2903,0.8589568275053722,0.7759131770255844,0.790263346746418,0.7802302642551021,0.8578204664979538,0.8373149624589951,0.014491642018387426,0.20095778521896832,0.42857142857142855,10238.0
0.07500000000000001,M0,4307,0.8595428794686463,0.7746446441744623,0.7892728874578997,0.7791604812745555,0.858369953124748,0.8379722600068984,0.013902504055648152,0.20092154281779054,0.4142857142857143,10238.0
