task,mean_delta,bootstrap_mean_delta,confidence_lower_95,confidence_upper_95,bootstrap_probability_positive,paired_randomization_observed_delta,paired_randomization_p_two_sided,bootstrap_replicates,randomization_replicates
normalization,2.661748231913858,2.6618856062604905,2.0857505184342875,3.268362326958343,1.0,2.661748231913858,0.0001999600079984003,5000,5000
identification,0.039047407106160836,0.03908198973962148,0.030924662822691826,0.047896727002659865,1.0,0.039047407106160836,0.0001999600079984003,5000,5000
