model_id,split,accuracy,balanced_accuracy,macro_f1_13,regional_macro_f1,weighted_f1,mcc,ece_15,brier,worst_present_dialect_f1,examples,seed
ID_CHAR_TFIDF_SVM,validation,0.8549521390896659,0.7712548801735394,0.7837962622744212,0.7733845321121686,0.8539695652427203,0.832722290435838,0.011328622643751148,0.20879059880983383,0.41379310344827586,10238.0,
ID_CHAR_TFIDF_SVM,iid_test,0.8540482954545454,0.7696957771993728,0.778268170604924,0.7668921385712629,0.8530463412974373,0.8319748052573432,0.011063059314329347,0.21035242264156195,0.4117647058823529,11264.0,
ID_CHAR_TFIDF_SVM,source_ood,0.4724386300161693,0.412637708117883,0.2228682424304498,0.3738155441382682,0.4749068042113838,0.4032871383911611,0.18909437899771836,0.7165462138185096,0.034346103038309116,6803.0,
ID_CHAR_TFIDF_SVM,external_transcript,0.9704604691572546,0.9586258383908088,0.5943184384990119,0.9657674625608943,0.9742421751556488,0.9654840226474501,0.014604038801738523,0.0434816847842065,0.8739495798319328,1151.0,
ID_CHAR_TFIDF_SGD,validation,0.8525102559093573,0.7691483156473234,0.780045290436616,0.769856262583112,0.8515736013769315,0.8298801921685274,0.056146581765845735,0.21987882912991694,0.3974358974358974,10238.0,1701.0
ID_CHAR_TFIDF_SGD,iid_test,0.8488103693181818,0.7678198003225349,0.7736694176415894,0.7629433789386123,0.8481616201936247,0.8259851097750702,0.05366895236709917,0.22161763683315963,0.43478260869565216,11264.0,1701.0
ID_CHAR_TFIDF_SGD,source_ood,0.468910774658239,0.40551566733799904,0.21650249725416754,0.3624846542082559,0.4638572255312613,0.39741743531564494,0.16184769616387404,0.7203337156887312,0.021447721179624665,6803.0,1701.0
ID_CHAR_TFIDF_SGD,external_transcript,0.9687228496959166,0.9577424461646604,0.5940356804575742,0.9653079807435581,0.9733594663744826,0.9635030522911525,0.04040667414665221,0.05167599335365779,0.8739495798319328,1151.0,1701.0
ID_CHAR_TFIDF_SGD,validation,0.8522172299277203,0.7714697765267476,0.7788545037526392,0.7686396672130321,0.8514159462279436,0.8295718204071576,0.05750227650701359,0.21960691586518755,0.3902439024390244,10238.0,2903.0
ID_CHAR_TFIDF_SGD,iid_test,0.8504971590909091,0.7722028746218723,0.7775240647662718,0.7671339252613855,0.849837856547929,0.8279262632175362,0.05196172329570718,0.2206674039159716,0.4385026737967914,11264.0,2903.0
ID_CHAR_TFIDF_SGD,source_ood,0.4697927384977216,0.40685108064061,0.21717198399008375,0.3638190485893655,0.4645519252388408,0.3981131052154721,0.16235264023051588,0.7213732719730487,0.021476510067114093,6803.0,2903.0
ID_CHAR_TFIDF_SGD,external_transcript,0.9652476107732406,0.9515315192823555,0.5905020793262867,0.9595658789052159,0.9695793852300616,0.9594744060743681,0.04458163793867925,0.0525698521593448,0.8448275862068966,1151.0,2903.0
ID_CHAR_TFIDF_SGD,validation,0.8487985934752882,0.7652198627978652,0.77353448041931,0.7632066123318443,0.8479601463144407,0.8256033761126184,0.05595667962102039,0.2214374918203686,0.39285714285714285,10238.0,4307.0
ID_CHAR_TFIDF_SGD,iid_test,0.8493430397727273,0.7702572733279337,0.7747104960848975,0.7640187589739954,0.8487631721500407,0.8266105137423347,0.05461144391367931,0.2215076511766515,0.43157894736842106,11264.0,4307.0
ID_CHAR_TFIDF_SGD,source_ood,0.46626488313979125,0.4027090003555083,0.214988513308222,0.35907443876714096,0.4611624869296436,0.39406062812915504,0.16463823906730135,0.7201910504686021,0.021534320323014805,6803.0,4307.0
ID_CHAR_TFIDF_SGD,external_transcript,0.9669852302345786,0.9524149115085039,0.5907982047682349,0.9600470827483814,0.9709193071797533,0.9614552868169318,0.041606628874091875,0.05128171780826269,0.8376068376068376,1151.0,4307.0
ID_CHAR_TFIDF_SGD,validation,0.8506544246923228,0.767899541909814,0.77501590770488,0.7644968025468962,0.8498415419450651,0.8277733898211049,0.05726301998138705,0.22011478992493702,0.37735849056603776,10238.0,5501.0
ID_CHAR_TFIDF_SGD,iid_test,0.8499644886363636,0.7734486090711125,0.7777983504727811,0.7672590598309227,0.8492889983521635,0.8273259851094762,0.05371182001545094,0.22153402170400247,0.450261780104712,11264.0,5501.0
ID_CHAR_TFIDF_SGD,source_ood,0.4690577686314861,0.4057415143892085,0.21758270789383036,0.3647715154697524,0.4649314173912065,0.397368170538075,0.1616307775684793,0.7205129478037158,0.034482758620689655,6803.0,5501.0
ID_CHAR_TFIDF_SGD,external_transcript,0.9678540399652477,0.9543379884315808,0.5921374121415645,0.9622232947300422,0.9723095241997622,0.9624815502545941,0.03958914253527345,0.05204462510252348,0.847457627118644,1151.0,5501.0
ID_CHAR_TFIDF_SGD,validation,0.8506544246923228,0.767553601876419,0.7763497788379119,0.7660187984570412,0.8496172780567197,0.8277215746879627,0.05604553787671954,0.22108901648120954,0.3670886075949367,10238.0,6703.0
ID_CHAR_TFIDF_SGD,iid_test,0.8504971590909091,0.7697281989046185,0.7758253876318494,0.7651591878907555,0.8497108439276432,0.8279228849733133,0.05312449348672421,0.22155635495492723,0.43333333333333335,11264.0,6703.0
ID_CHAR_TFIDF_SGD,source_ood,0.4690577686314861,0.40791683704032494,0.21760153271386387,0.3648033208800385,0.46370814261759713,0.39739215533099637,0.16153321539490048,0.718257576281321,0.02953020134228188,6803.0,6703.0
ID_CHAR_TFIDF_SGD,external_transcript,0.9669852302345786,0.9524149115085039,0.5908042499174297,0.9600569061158233,0.9709087748505147,0.9614601397820792,0.04137914751427366,0.050774398958525535,0.8376068376068376,1151.0,6703.0
ID_MAJORITY,validation,0.2198671615549912,0.07692307692307693,0.027729016919504548,0.0,0.07925710315642329,0.0,0.017836956058581238,0.8696180612653501,0.0,10238.0,
ID_MAJORITY,iid_test,0.2176846590909091,0.07692307692307693,0.02750297238486215,0.0,0.07783067717861025,0.0,0.0156544535944991,0.8712564512484384,0.0,11264.0,
ID_MAJORITY,source_ood,0.17227693664559754,0.14285714285714285,0.022609115022908126,0.0,0.050635377993389415,0.0,0.02975326885081242,0.8927458511921864,0.0,6803.0,
ID_MAJORITY,external_transcript,0.0,0.0,0.0,0.0,0.0,0.0,0.20203020549641001,0.911445664507161,0.0,1151.0,
