dialect,rows,chrfpp,sacrebleu,ter,cer,wer,exact_match,number_preservation
BAR,608,53.560908877044774,29.283359165233342,47.19562243502052,0.2983393777438442,0.48523809523809525,0.18585526315789475,
CHI,2096,31.766839254005987,14.988024075174938,78.23213548120611,0.5092321103098503,0.7994087837837838,0.07872137404580153,
MYM,1384,41.50783242676264,5.962146397198627,68.56895806312149,0.44376547029702973,0.6852572416774751,0.26011560693641617,
NOA,1400,44.94929640025329,7.710817767662633,66.6809238665526,0.28268361798269126,0.6668092386655261,0.18785714285714286,
SYL,2104,51.24853236487191,18.008767448795865,53.41026169379766,0.29519678459150783,0.5429112326461927,0.2671102661596958,
