label_id,dialect,precision,recall,f1,support,split
0,BAR,0.8731707317073171,0.9148211243611584,0.8935108153078203,587,iid_test
1,CHI,0.9464285714285714,0.9374149659863944,0.9419002050580998,2205,iid_test
2,KHU,0.4666666666666667,0.3684210526315789,0.4117647058823529,95,iid_test
3,KIS,0.7780487804878049,0.8045397225725095,0.7910725356478612,793,iid_test
4,MYM,0.8088235294117647,0.859375,0.8333333333333334,448,iid_test
5,NAR,0.8144963144963145,0.78,0.796875,850,iid_test
6,NOA,0.8352601156069365,0.7467700258397932,0.7885402455661664,387,iid_test
7,NSD,0.6833976833976834,0.6579925650557621,0.6704545454545454,538,iid_test
8,RAJ,0.8133333333333334,0.6931818181818182,0.7484662576687117,88,iid_test
9,RAN,0.7895500725689405,0.7793696275071633,0.7844268204758471,698,iid_test
10,STD,0.8839863065804489,0.9477977161500816,0.9147805550088566,2452,iid_test
11,SYL,0.9193654990085922,0.860235003092146,0.888817891373802,1617,iid_test
12,TAN,0.6509803921568628,0.6561264822134387,0.6535433070866141,506,iid_test
0,BAR,0.7368421052631579,0.7353535353535353,0.7360970677451971,495,source_ood
1,CHI,0.8296178343949044,0.6299879081015719,0.7161512027491409,1654,source_ood
2,KHU,0.0,0.0,0.0,0,source_ood
3,KIS,0.0,0.0,0.0,0,source_ood
4,MYM,0.240506329113924,0.0271041369472182,0.0487179487179487,701,source_ood
5,NAR,0.0,0.0,0.0,0,source_ood
6,NOA,0.3859649122807017,0.0559796437659033,0.0977777777777777,786,source_ood
7,NSD,0.0,0.0,0.0,0,source_ood
8,RAJ,0.325,0.0181311018131101,0.0343461030383091,717,source_ood
9,RAN,0.0,0.0,0.0,0,source_ood
10,STD,0.5518453427065027,0.8037542662116041,0.6543938867662383,1172,source_ood
11,SYL,0.6016755521706016,0.6181533646322379,0.6098031648012351,1278,source_ood
12,TAN,0.0,0.0,0.0,0,source_ood
0,BAR,0.9629629629629628,0.8,0.8739495798319328,65,external_transcript
1,CHI,0.9876543209876544,0.9876543209876544,0.9876543209876544,162,external_transcript
2,KHU,0.0,0.0,0.0,0,external_transcript
3,KIS,0.9807692307692308,0.9622641509433962,0.9714285714285714,159,external_transcript
4,MYM,0.0,0.0,0.0,0,external_transcript
5,NAR,0.963855421686747,0.9876543209876544,0.975609756097561,162,external_transcript
6,NOA,0.0,0.0,0.0,0,external_transcript
7,NSD,0.9553571428571428,0.9907407407407408,0.9727272727272728,108,external_transcript
8,RAJ,0.0,0.0,0.0,0,external_transcript
9,RAN,0.9907407407407408,0.9907407407407408,0.9907407407407408,108,external_transcript
10,STD,0.0,0.0,0.0,0,external_transcript
11,SYL,0.9964028776978416,0.978798586572438,0.9875222816399288,283,external_transcript
12,TAN,0.961904761904762,0.971153846153846,0.9665071770334928,104,external_transcript
