variant,seed,epoch,selected,accuracy,balanced_accuracy,macro_f1_13,regional_macro_f1,weighted_f1,mcc,ece_15,brier,worst_present_dialect_f1,examples
M0,1701,1,False,0.7986911506153546,0.6977434282081061,0.6998402737917995,0.6823796692079421,0.7974482318786159,0.7682347337962345,0.011039156602809476,0.27283775434352187,0.365296803652968,10238.0
M0,1701,2,False,0.8335612424301622,0.7412304404639698,0.7477355803641677,0.7331099417909114,0.8325916009289689,0.8080570618854269,0.03276447338601719,0.23542240619810012,0.46153846153846156,10238.0
M0,1701,3,False,0.8325844891580387,0.7532284101915825,0.7544963692929004,0.7406253486839097,0.8331604986359485,0.8074389795516148,0.0475926790404632,0.23897409983016782,0.4585987261146497,10238.0
M0,1701,4,False,0.8324868138308263,0.7353918859958971,0.7419299541008105,0.7271427992138929,0.8305016656393835,0.8068119632442352,0.07316607688350775,0.24918266134148953,0.37333333333333335,10238.0
M0,1701,5,False,0.842840398515335,0.7558055389211317,0.7607310693550418,0.7472781424992415,0.8415885433585598,0.8188203965381856,0.08062149916287395,0.24155586357530065,0.4225352112676056,10238.0
M0,1701,6,False,0.8390310607540535,0.7628688429802929,0.7632524839838056,0.7501068392084648,0.8391384356028837,0.8148846550308599,0.08935887731421052,0.2514875650853195,0.4745762711864407,10238.0
M0,1701,7,True,0.8436218011330338,0.7575416510389879,0.7725936329850964,0.760473111073548,0.8427290330285319,0.819623922678598,0.09000385121532806,0.2475709509852369,0.5512820512820513,10238.0
M0,1701,8,False,0.8353193983199844,0.7415676475718183,0.7523424033612882,0.7384160519810156,0.8341378498251998,0.8102435390081673,0.10270518387905625,0.26052522849689885,0.38571428571428573,10238.0
M0,1701,9,False,0.8397147880445399,0.7465368470120481,0.7573846534058165,0.7441111523007455,0.838372502569768,0.8153025149152858,0.10118594168335877,0.25687933003350455,0.4,10238.0
M0,1701,10,False,0.8446962297323696,0.7591588704698952,0.7671343812166944,0.7540151090114366,0.8438441350887141,0.8209535687874239,0.10257430223543956,0.2523279905425444,0.4186046511627907,10238.0
