epoch,global_step,loss,language_model_loss,classification_loss,contrastive_loss,dialect_loss,source_loss,mtp_loss,router_z_loss,balance_loss,gradient_norm,muon_gradient_norm,adamw_gradient_norm,lr_scale,tokens_seen,examples_seen,tokens_per_second,elapsed_seconds,peak_memory_gib,variant,seed,stage,progress,smoothed_loss
1,10,6.418812751770019,5.547468662261963,0.0,0,1.9264576435089111,0,7.126705169677734,0.0,0.0,1.109602212905883,0.58355712890625,0.8120709061622621,0.9994979370198621,855421,20480,4120.253716939231,207.61367109097773,8.95796823501587,M0,1701,stage_a,0.07142857142857142,6.418812751770019
1,20,6.097634792327881,5.323302745819092,0.0,0,2.322834014892578,0,6.9568986892700195,0.0,0.0,0.44658890366554205,0.170476645231246,0.412770390510559,0.982043084412564,1725302,40960,4150.133071176428,415.7220914149948,8.95796823501587,M0,1701,stage_a,0.14285714285714285,6.25822377204895
1,30,5.489692211151123,4.660381317138672,0.0,0,2.248519420623779,0,6.700769901275635,0.0,0.0,0.5345300436019891,0.13966797292232502,0.515960454940795,0.940594196819963,2585623,61440,4155.068022181092,622.2817499490047,8.97206735610962,M0,1701,stage_a,0.21428571428571427,6.002046585083008
1,40,5.776514053344727,5.200658798217773,0.0,0,2.05301284790039,0,6.971991062164307,0.0,0.0,0.41405054926872203,0.14113537967205,0.389253973960876,0.8774531883216481,3434094,81920,4171.673629607581,823.1933523339976,8.97206735610962,M0,1701,stage_a,0.2857142857142857,5.9456634521484375
1,50,4.850532531738281,4.143769264221191,0.0,0,1.319639086723327,0,6.439739227294922,0.0,0.0,0.425019204616546,0.145577162504196,0.39931017160415605,0.7961266711550921,4293224,102400,4176.682641692136,1027.902852168976,8.97206735610962,M0,1701,stage_a,0.35714285714285715,5.726637268066407
1,60,5.169714450836182,4.470795631408691,0.0,0,1.42819857597351,0,6.359972953796387,0.0,0.0,0.47999632358551003,0.17331238090991902,0.44761511683464006,0.7011312117659301,5137181,122880,4158.052784226125,1235.4775820759824,8.97206735610962,M0,1701,stage_a,0.42857142857142855,5.476817607879639
1,70,4.548030376434326,3.876521587371826,0.0,0,1.062658429145813,0,6.132163047790527,0.0,0.0,0.42378649115562406,0.158338069915771,0.393095433712005,0.597742497830376,6007484,143360,4166.635305251472,1441.807012106001,8.97206735610962,M0,1701,stage_a,0.5,5.166896724700928
1,80,5.476539611816406,4.749846458435059,0.0,0,0.8156605958938591,0,6.4809818267822275,0.0,0.0,0.40884590148925704,0.142915800213813,0.383053541183471,0.49170234656239603,6881534,163840,4180.467531096845,1646.1158826879982,8.97206735610962,M0,1701,stage_a,0.5714285714285714,5.164266204833984
1,90,4.704830169677734,4.134397506713867,0.0,0,0.8065745234489441,0,6.109530448913574,0.0,0.0,0.352957755327224,0.11650570482015601,0.333175033330917,0.388899825953509,7745452,184320,4180.881253973104,1852.5883729989873,8.97273874282837,M0,1701,stage_a,0.6428571428571429,4.949929428100586
1,100,4.914691925048828,4.270277976989746,0.0,0,0.7682745456695551,0,6.35097074508667,0.0,0.0,0.364921599626541,0.11902911961078601,0.344963490962982,0.295044198262641,8613006,204800,4189.050161989192,2056.0761191530037,8.97273874282837,M0,1701,stage_a,0.7142857142857143,4.962761306762696
1,110,4.883190631866455,4.263004302978516,0.0,0,0.678621292114257,0,6.23675012588501,0.0,0.0,0.35725146532058705,0.11970120668411201,0.33660098910331704,0.215347849234709,9475526,225280,4189.659522108705,2261.645833032002,8.97273874282837,M0,1701,stage_a,0.7857142857142857,4.90545654296875
1,120,5.03589391708374,4.287235260009766,0.0,0,0.7373408675193781,0,6.450991630554199,0.0,0.0,0.38177272677421503,0.11982659250497801,0.36248031258583,0.154236811957079,10339336,245760,4197.434119975377,2463.2515256869956,8.97273874282837,M0,1701,stage_a,0.8571428571428571,5.003029251098633
1,130,5.201909065246582,4.612790107727051,0.0,0,0.7539767622947691,0,6.600356101989746,0.0,0.0,0.368929296731948,0.11216425150632801,0.35146552324295005,0.11510496176147,11194392,266240,4198.029932449738,2666.5822255029925,8.97273874282837,M0,1701,stage_a,0.9285714285714286,4.948103141784668
1,140,4.217721939086914,3.621614933013916,0.0,0,0.734837234020233,0,6.414941310882568,0.0,0.0,0.45800706744194003,0.15036919713020303,0.432619392871856,0.100125533254587,12000213,285908,4195.960680210897,2859.9441020969825,8.97273874282837,M0,1701,stage_a,1.0,4.850681495666504
1,10,2.649480819702148,1.5408974885940552,2.065419435501098,0,1.034872531890869,0,3.33320140838623,0.0,0.0,1.805713772773742,0.260610252618789,0.9654435515403741,0.833333333333333,255820,10240,2548.6404327469613,100.37508497197996,16.724303245544434,M0,1701,stage_s,0.04310344827586207,2.649480819702148
1,20,2.162420988082885,1.4064579010009761,1.472090721130371,0,0.745214104652404,0,3.529604911804199,0.0,0.0,1.121223330497741,0.36238399147987305,0.932028114795684,0.9977536815154111,524724,20480,2566.954390372033,204.41500712599372,16.725890159606934,M0,1701,stage_s,0.08620689655172414,2.405950903892516
1,30,2.002584934234619,1.366878747940063,1.238122582435608,0,0.627214014530181,0,3.833067893981933,0.0,0.0,1.024001359939575,0.352259576320648,0.935901224613189,0.9868052589696331,781108,30720,2576.958034613759,303.1124253899907,16.753111839294434,M0,1701,stage_s,0.12931034482758622,2.2714955806732173
1,40,2.701897382736206,2.127794504165649,0.7835619449615471,0,0.5494450926780701,0,4.262816429138184,0.0,0.0,0.9748119115829461,0.38086500763893105,0.897329449653625,0.9669647409935821,1043457,40960,2270.9751292012916,459.47530934298993,16.753111839294434,M0,1701,stage_s,0.1724137931034483,2.3790960311889644
1,50,2.383929967880249,1.749075889587402,0.9274351596832271,0,0.52700787782669,0,3.4663467407226562,0.0,0.0,0.9971558451652521,0.39083892107009804,0.917368233203887,0.9386360233179201,1302686,51200,2334.2199167166823,558.0819487789995,16.753111839294434,M0,1701,stage_s,0.21551724137931033,2.3800628185272212
1,60,2.221956014633178,1.54434072971344,1.071742057800293,0,0.6591918468475341,0,3.415425777435302,0.0,0.0,1.020801424980163,0.39818277955055204,0.917305052280426,0.902395796941249,1562577,61440,2381.856394410978,656.033253585978,16.753111839294434,M0,1701,stage_s,0.25862068965517243,2.2945578575134276
1,70,2.197398662567138,1.583763360977172,0.8668249845504761,0,0.6710548996925351,0,3.323840618133545,0.0,0.0,1.064582109451294,0.377809822559356,0.9258821606636041,0.8589818083644161,1824735,71680,2432.857981020045,750.0376159379957,16.753111839294434,M0,1701,stage_s,0.3017241379310345,2.301553392410278
1,80,2.318550586700439,1.639711141586303,1.4284048080444331,0,0.538671553134918,0,3.8485794067382812,0.0,0.0,0.9113499522209161,0.32590320706367404,0.8510850667953491,0.8092778411992381,2091787,81920,2278.764891133866,917.9477040999918,16.753111839294434,M0,1701,stage_s,0.3448275862068966,2.364746522903442
1,90,1.861181139945983,1.295869946479797,0.7605873346328731,0,0.45071300864219604,0,3.349677562713623,0.0,0.0,0.9596674442291261,0.338205069303512,0.8980974555015561,0.7542957248827961,2353886,92160,2311.3558075582264,1018.4005388969963,16.757689476013184,M0,1701,stage_s,0.3879310344827586,2.196603274345397
1,100,1.406092882156372,0.9809067249298091,0.518631815910339,0,0.396288305521011,0,2.691956996917724,0.0,0.0,1.235411524772644,0.400259643793106,0.916400849819183,0.69515473674796,2606702,102400,2330.2132368572347,1118.6538462530007,16.757689476013184,M0,1701,stage_s,0.43103448275862066,2.001035857200622
1,110,1.709069371223449,1.288263797760009,0.5646956562995911,0,0.33551180362701405,0,3.2255539894104,0.0,0.0,0.9452967047691341,0.408205598592758,0.852616012096405,0.63305881676463,2873637,112640,2350.665773933218,1222.4779174760042,16.757689476013184,M0,1701,stage_s,0.47413793103448276,1.8984585285186761
1,120,2.108280897140503,1.6629407405853271,0.599123358726501,0,0.44496566057205206,0,3.867884874343872,0.0,0.0,0.9336049556732171,0.362670302391052,0.860283851623535,0.569272058793821,3128869,122880,2263.0091181820358,1382.6144025939866,16.757689476013184,M0,1701,stage_s,0.5172413793103449,1.8806349754333493
1,130,2.041402339935302,1.6966179609298702,0.38612008094787603,0,0.248205557465553,0,3.6316769123077393,0.0,0.0,0.973908901214599,0.37347421050071705,0.8994529843330381,0.5050929772819971,3387571,133120,2281.770949473504,1484.6235993939918,16.757689476013184,M0,1701,stage_s,0.5603448275862069,1.8252053260803216
1,140,1.777817964553833,1.5249881744384761,0.041260853409767005,0,0.25545111298561,0,3.601132154464721,0.0,0.0,0.8828328847885131,0.303879678249359,0.8288853764533991,0.44182807325155304,3639571,143360,2295.653723842935,1585.4181151969824,16.757689476013184,M0,1701,stage_s,0.603448275862069,1.8085326910018917
1,150,1.662899136543274,1.2833712100982662,0.49243181943893405,0,0.28880631923675504,0,3.1563773155212402,0.0,0.0,0.8959248065948481,0.336462974548339,0.8303455114364621,0.38076523770763004,3897031,153600,2313.63136288057,1684.3785326060024,16.757689476013184,M0,1701,stage_s,0.646551724137931,1.8598939418792722
1,160,2.09648847579956,1.721604108810424,0.21832482516765503,0,0.132317319512367,0,4.025258064270019,0.0,0.0,0.98208087682724,0.37644705176353405,0.9070669412612911,0.323147533891225,4154328,163840,2260.1629794218265,1838.065678371,16.757689476013184,M0,1701,stage_s,0.6896551724137931,1.9373777627944944
1,170,1.284311294555664,0.926340341567993,0.40462055802345204,0,0.46921157836914,0,2.853285312652588,0.0,0.0,0.8538039326667781,0.318458765745162,0.7921900749206541,0.270147892096305,4410446,174080,2281.2769875036743,1933.32332029799,16.757689476013184,M0,1701,stage_s,0.7327586206896551,1.7725838422775264
1,180,1.670612931251525,1.402073144912719,0.24873316287994301,0,0.22809077799320202,0,3.530622005462646,0.0,0.0,0.8914740085601801,0.32868999242782504,0.8286668062210081,0.22284523219146601,4668154,184320,2295.0665084732223,2033.9950858789962,16.757689476013184,M0,1701,stage_s,0.7758620689655172,1.6984259605407712
1,190,1.453105568885803,1.189521193504333,0.200704872608184,0,0.15786777436733201,0,3.371283054351806,0.0,0.0,0.9159697294235231,0.34219089150428705,0.849650382995605,0.18220249992276602,4930049,194560,2310.1861768254957,2134.0483504989825,16.757689476013184,M0,1701,stage_s,0.8189655172413793,1.6334834814071653
1,200,1.823172211647033,1.438961267471313,0.45939937233924805,0,0.27773255109786904,0,3.506103038787842,0.0,0.0,0.8419384956359861,0.306884557008743,0.7840165495872491,0.14904706411523402,5195038,204800,2264.920981467462,2293.6950306469807,16.757689476013184,M0,1701,stage_s,0.8620689655172413,1.6655380964279172
1,210,1.298669457435608,0.9798277020454401,0.35465195775032005,0,0.40816706418991006,0,2.859565496444702,0.0,0.0,0.952521741390228,0.34890854358673,0.886318445205688,0.12405387382952901,5451171,215040,2277.6287794492323,2393.3535829829925,16.759947776794434,M0,1701,stage_s,0.9051724137931034,1.5059742927551265
1,220,1.798139095306396,1.512588620185852,0.10589993745088501,0,0.187087267637252,0,3.536017179489135,0.0,0.0,0.779232800006866,0.28779634833335804,0.7241388559341431,0.10773171834546001,5712402,225280,2289.6250236983956,2494.907218812994,16.759947776794434,M0,1701,stage_s,0.9482758620689655,1.6087398529052728
1,230,2.058563470840454,1.664358377456665,0.49186465144157404,0,0.29820516705513,0,3.642248153686523,0.0,0.0,0.9164851307868951,0.34575772285461404,0.848761916160583,0.10041286967947101,5966824,235520,2299.6622369615097,2594.652338111977,16.759947776794434,M0,1701,stage_s,0.9913793103448276,1.686329960823059
1,232,2.00649619102478,1.650649428367614,0.307581961154937,0,0.336307287216186,0,2.994402647018432,0.0,0.0,1.624555706977844,0.352062880992889,0.935975670814514,0.10004588064575501,6000167,236786,2300.5710682784015,2608.120689133997,16.759947776794434,M0,1701,stage_s,1.0,1.797008085250854
1,20,2.341641187667846,0.0,2.1539306640625,0,1.826528191566467,0,0.0,0.0,0.0,5.117995738983154,0.271736562252044,0.9623714089393611,0.10989010989010901,154115,10240,6873.794290089409,22.420659317984246,8.54005241394043,M0,1701,stage_id,0.01,2.341641187667846
1,40,1.504949569702148,0.0,1.313198804855346,0,1.382061958312988,0,0.0,0.0,0.0,2.65545916557312,0.29187455773353504,0.956456184387207,0.21978021978021903,306974,20480,7283.396052116716,42.14709701400716,8.54005241394043,M0,1701,stage_id,0.02,1.923295378684997
1,60,0.9761444926261901,0.0,0.8484348654747,0,0.85414981842041,0,0.0,0.0,0.0,2.527865171432495,0.341702342033386,0.939807772636413,0.329670329670329,459259,30720,7275.544023935692,63.123664496990386,9.254734992980957,M0,1701,stage_id,0.03,1.6075784166653946
1,80,0.6982313990592951,0.0,0.610151410102844,0,0.619453728199005,0,0.0,0.0,0.0,1.89637279510498,0.37093511223793,0.9286582469940181,0.43956043956043905,612588,40960,7245.877309414734,84.542971657007,10.009869575500488,M0,1701,stage_id,0.04,1.3802416622638698
1,100,0.681698501110076,0.0,0.595103681087493,0,0.5990271568298341,0,0.0,0.0,0.0,2.039279699325561,0.36239907145500105,0.93202257156372,0.549450549450549,765084,51200,7329.811791961433,104.3797605879954,10.009869575500488,M0,1701,stage_id,0.05,1.240533030033111
1,120,0.705796062946319,0.0,0.627040982246398,0,0.640354871749877,0,0.0,0.0,0.0,1.921895027160644,0.355078637599945,0.934835851192474,0.659340659340659,919210,61440,7352.378110585553,125.02213381498586,10.009869575500488,M0,1701,stage_id,0.06,0.9133640050888057
1,140,0.636052012443542,0.0,0.561022877693176,0,0.585031926631927,0,0.0,0.0,0.0,1.858626961708068,0.355727523565292,0.934589028358459,0.769230769230769,1070766,71680,7411.969554459333,144.4644358200021,10.009869575500488,M0,1701,stage_id,0.07,0.7395844936370845
1,160,0.77046000957489,0.0,0.6704363226890561,0,0.6590506434440611,0,0.0,0.0,0.0,1.909052371978759,0.38533473014831504,0.9227763414382931,0.8791208791208791,1223841,81920,7400.216072370585,165.3790900199965,10.009869575500488,M0,1701,stage_id,0.08,0.6984475970268245
1,180,0.579165160655975,0.0,0.511643052101135,0,0.52454125881195,0,0.0,0.0,0.0,1.9998115301132202,0.363551676273345,0.9315736293792721,0.989010989010989,1375770,92160,7419.150712224089,185.43497138199746,10.009869575500488,M0,1701,stage_id,0.09,0.6746343493461604
2,200,0.383843004703521,0.0,0.340399891138076,0,0.36676645278930603,0,0.0,0.0,0.0,1.61845862865448,0.345337748527526,0.9384778141975401,0.9999463312481041,1524340,102113,7308.525089584508,208.57012616298744,10.009869575500488,M0,1701,stage_id,0.1,0.6150632500648494
2,220,0.22905181348323803,0.0,0.20227113366127,0,0.231724649667739,0,0.0,0.0,0.0,1.54441499710083,0.362746715545654,0.931887090206146,0.9997457887069521,1677682,112353,7318.8200755107355,229.22847982199164,10.009869575500488,M0,1701,stage_id,0.11,0.5197144001722332
2,240,0.350810319185256,0.0,0.312187284231185,0,0.30410513281822205,0,0.0,0.0,0.0,1.789127707481384,0.29489341378211903,0.955529451370239,0.9993967672062051,1828573,122593,7316.014722032649,249.94113181499415,10.009869575500488,M0,1701,stage_id,0.12,0.46266606152057604
2,260,0.42151328921318004,0.0,0.37603896856307906,0,0.37120774388313205,0,0.0,0.0,0.0,1.570924878120422,0.331451117992401,0.943471789360046,0.9988993819717311,1982623,132833,7338.028681574623,270.1846893809852,10.009869575500488,M0,1701,stage_id,0.13,0.39287671744823405
2,280,0.463616967201232,0.0,0.41133302450180004,0,0.41990560293197604,0,0.0,0.0,0.0,1.635799407958984,0.35273212194442705,0.935723662376403,0.998253797210164,2137189,143073,7357.597959344268,290.47374045298784,10.009869575500488,M0,1701,stage_id,0.14,0.36976707875728543
2,300,0.407524436712265,0.0,0.362604141235351,0,0.37200680375099104,0,0.0,0.0,0.0,1.52799379825592,0.340667307376861,0.9401832818984981,0.9974602260546921,2289646,153313,7347.9968901866305,311.60138391700457,10.009869575500488,M0,1701,stage_id,0.15,0.37450336515903426
2,320,0.415632277727127,0.0,0.367807269096374,0,0.37412804365158003,0,0.0,0.0,0.0,1.5442308187484741,0.319220125675201,0.9476799368858331,0.9965189304946941,2440711,163553,7350.282077689286,332.05678016200545,10.009869575500488,M0,1701,stage_id,0.16,0.41181945800781206
2,340,0.34313982725143405,0.0,0.305189192295074,0,0.31434836983680703,0,0.0,0.0,0.0,1.643999218940734,0.298569619655609,0.9543872475624081,0.9954302212892441,2593731,173793,7367.6752895425,352.04198041700874,10.009869575500488,M0,1701,stage_id,0.17,0.4102853596210476
2,360,0.463490754365921,0.0,0.40843537449836703,0,0.41071829199790905,0,0.0,0.0,0.0,1.682559609413147,0.311346650123596,0.9502956867218011,0.9941944578645221,2746698,184033,7388.087321511176,371.77389498398406,10.009869575500488,M0,1701,stage_id,0.18,0.4186808526515958
3,380,0.18993447721004403,0.0,0.172050341963768,0,0.17730394005775402,0,0.0,0.0,0.0,1.167939066886901,0.311800330877304,0.950146853923797,0.9928120481951481,2893027,193986,7332.153878347709,394.56714193400694,10.009869575500488,M0,1701,stage_id,0.19,0.36394435465335817
3,400,0.22055403888225503,0.0,0.195283129811286,0,0.196714162826538,0,0.0,0.0,0.0,1.499906063079834,0.319111108779907,0.947716653347015,0.991283448669496,3046544,204226,7338.978203830519,415.11827878298936,10.009869575500488,M0,1701,stage_id,0.2,0.32655027508735623
3,420,0.217970117926597,0.0,0.196005836129188,0,0.194893553853034,0,0.0,0.0,0.0,1.5465588569641109,0.354071289300918,0.9352176785469051,0.9896091639390231,3200293,214466,7355.847512841812,435.0678823089984,10.009869575500488,M0,1701,stage_id,0.21,0.2870178431272502
3,440,0.254955977201461,0.0,0.229542583227157,0,0.22169169783592202,0,0.0,0.0,0.0,1.5993303060531612,0.30288732051849304,0.9530257582664491,0.9877897467516611,3350341,224706,7358.858650206634,455.27997740599676,10.009869575500488,M0,1701,stage_id,0.22,0.2693810731172556
3,460,0.32815706729888905,0.0,0.29658854007720903,0,0.290143013000488,0,0.0,0.0,0.0,1.455591082572937,0.28895485401153503,0.9573420286178581,0.9858257977693351,3504417,234946,7362.128009599339,476.0059856919979,10.009869575500488,M0,1701,stage_id,0.23,0.24231433570384925
3,480,0.21935440599918302,0.0,0.197551235556602,0,0.195247143507003,0,0.0,0.0,0.0,1.655924320220947,0.35061255097389205,0.936519920825958,0.98371796536966,3656435,245186,7360.520664350632,496.76309146298445,10.009869575500488,M0,1701,stage_id,0.24,0.24819832146167706
3,500,0.38371723890304504,0.0,0.34288498759269703,0,0.35210973024368203,0,0.0,0.0,0.0,1.7263739109039302,0.30883553624153104,0.95111483335495,0.9814669454318831,3809431,255426,7358.745199649222,517.6739915089856,10.009869575500488,M0,1701,stage_id,0.25,0.280830961465835
3,520,0.279341131448745,0.0,0.246063604950904,0,0.25225037336349404,0,0.0,0.0,0.0,1.386188983917236,0.28641140460968,0.9581060409545891,0.9790734811071531,3963255,265666,7372.4909370383275,537.5733973559982,10.009869575500488,M0,1701,stage_id,0.26,0.2931051641702646
3,540,0.20686887204647,0.0,0.184384122490882,0,0.19058099389076202,0,0.0,0.0,0.0,1.554190635681152,0.27239227294921803,0.9621857404708861,0.9765383625731681,4117611,275906,7374.241780427872,558.3775420720049,10.009869575500488,M0,1701,stage_id,0.27,0.28348774313926645
4,560,0.066842131316661,0.0,0.060962747782468005,0,0.053879283368587,0,0.0,0.0,0.0,0.867325127124786,0.253130316734313,0.8295648694038391,0.973862426773312,4268101,285859,7332.4878874172255,582.0808797139907,10.009869575500488,M0,1701,stage_id,0.28,0.2312247559428208
4,580,0.164749681949615,0.0,0.149208068847656,0,0.151092380285263,0,0.0,0.0,0.0,1.206059098243713,0.293755114078521,0.9558799862861631,0.971046557140346,4423657,296099,7343.0475379237405,602.427939782996,10.009869575500488,M0,1701,stage_id,0.29,0.22030381113290726
4,600,0.18270201981067602,0.0,0.16577011346817,0,0.15702849626541102,0,0.0,0.0,0.0,1.346006751060485,0.29307162761688205,0.956089675426483,0.968091683304749,4576988,306339,7339.598673608762,623.601943857997,10.009869575500488,M0,1701,stage_id,0.3,0.18010076731443342
4,620,0.086353570222854,0.0,0.077107407152652,0,0.081200271844863,0,0.0,0.0,0.0,1.867801070213317,0.441953986883163,0.8970371484756471,0.9649987807878141,4729341,316579,7345.328175015972,643.857005066995,10.009869575500488,M0,1701,stage_id,0.31,0.1415032550692552
4,640,0.05375152081251101,0.0,0.04776069894433,0,0.054927505552768006,0,0.0,0.0,0.0,1.090886831283569,0.26931247115135104,0.9630521535873411,0.961768870679586,4881471,326819,7342.582462824091,664.816639747005,10.009869575500488,M0,1701,stage_id,0.32,0.11087978482246341
4,660,0.17026266455650302,0.0,0.151491805911064,0,0.15867774188518502,0,0.0,0.0,0.0,1.860801219940185,0.30853703618049605,0.9512118101119991,0.9584030193017621,5031695,337059,7322.859218928242,687.1216350840114,10.009869575500488,M0,1701,stage_id,0.33,0.13156389147043182
4,680,0.21861545741558003,0.0,0.19691774249076802,0,0.187404870986938,0,0.0,0.0,0.0,1.710258483886718,0.302973955869674,0.9529982209205621,0.954902337855654,5184762,347299,7323.837286067314,707.9297091790067,10.009869575500488,M0,1701,stage_id,0.34,0.1423370465636248
4,700,0.24267870187759402,0.0,0.21948730945587103,0,0.21245104074478102,0,0.0,0.0,0.0,1.216624855995178,0.27040556073188704,0.962745726108551,0.951267982055339,5336460,357539,7320.019538350103,729.0226442760031,10.009869575500488,M0,1701,stage_id,0.35,0.1543323829770084
4,720,0.191260457038879,0.0,0.173447862267494,0,0.170183897018432,0,0.0,0.0,0.0,1.319295883178711,0.300577342510223,0.953756809234619,0.947501151746112,5489787,367779,7167.301384292326,765.9489542369847,10.009869575500488,M0,1701,stage_id,0.36,0.17531376034021343
5,740,0.045210689306259,0.0,0.040706574916839,0,0.043832704424858,0,0.0,0.0,0.0,0.9718489050865171,0.26156124472618103,0.9359893202781671,0.9436030905083651,5638624,377732,6994.049871549465,806.2030016309873,10.009869575500488,M0,1701,stage_id,0.37,0.173605594038963
5,760,0.10639547556638701,0.0,0.09575216472148801,0,0.09875319153070401,0,0.0,0.0,0.0,1.573194622993469,0.319808691740036,0.947481453418731,0.939575085247039,5790457,387972,6869.914983195816,842.8717115370091,10.009869575500488,M0,1701,stage_id,0.38,0.1608321562409398
