model_id,batch_size,sequence_length,tokens_per_step,median_step_seconds,mean_step_seconds,tokens_per_second,peak_memory_gib,last_loss,total_parameters,active_parameters_per_token,inactive_expert_parameters_per_token,active_fraction,optimizer_muon_tensors,optimizer_adamw_tensors,grouped_gemm,mtp
M0_DENSE,4,512,2048,0.1334209560009185,0.1335369315987918,15336.581239961102,2.8276925086975098,5.598367691040039,83787290,83787290,0,1.0,112,71,True,True
M1_SWITCH,4,512,2048,0.3956740050052758,0.3930106699990574,5211.054447974432,5.69047212600708,5.299074649810791,381107738,83836442,297271296,0.219980949324099,364,83,True,True
M2_STANDARD_MOE,4,512,2048,0.2479245700087631,0.2475678957998752,8272.47811507647,3.837990283966065,4.956754207611084,168771098,83836442,84934656,0.4967464393696129,400,83,True,True
M3_BOICHITRO,4,512,2048,0.2484794430056354,0.2490230425988557,8224.138532027602,3.8447422981262207,5.701502799987793,168794695,83860039,84934656,0.4968167927315488,400,95,True,True
