global_step,microbatch,tokens_seen,loss,lm_loss,mtp_loss,gradient_norm,lr_scale,interval_tokens_per_second,overall_tokens_per_second,peak_memory_gib,bank_constraint_strength,router_load_cv,router_entropy,router_z_loss,condition,tokens_millions
10,320,1310720,3.603533029556274,3.313572406768799,5.793206214904785,0.11299867928028101,0.9999388899385641,12403.531554392455,12403.531554392455,9.22098445892334,1,2.828427076339721,2.079441547393799,3.007241010665893,Zero-init top-1 (rejected),1.31072
20,640,2621440,4.215473651885986,3.9091169834136963,6.1236572265625,0.113080725073814,0.999690658759632,16022.255590714985,13982.554064553282,9.22171688079834,1,2.828427076339721,2.079441547393799,1.7420200109481812,Zero-init top-1 (rejected),2.62144
30,960,3932160,3.6128485202789298,3.320997238159179,5.83499002456665,0.113752081990242,0.9992515923451931,16097.638534824873,14622.997373177286,9.22415828704834,1,2.828427076339721,2.079441547393799,1.018604040145874,Zero-init top-1 (rejected),3.93216
40,1280,5242880,4.014527320861816,3.709742069244384,6.094529628753662,0.11765070259571,0.9986218770218691,16086.90662122848,14963.415243326252,9.22415828704834,0,2.828427076339721,2.079441547393799,0.5871067643165581,Zero-init top-1 (rejected),5.24288
50,1600,6553600,3.8187255859375,3.519059419631958,5.992733955383301,0.129900828003883,0.9978017800219671,15850.756020205074,15132.845532890044,9.22415828704834,0,2.828427076339721,2.079441547393799,0.29597628116607605,Zero-init top-1 (rejected),6.5536
60,1920,7864320,3.902599096298217,3.599753618240356,6.056441307067871,0.132874831557273,0.996791649370071,15617.600463509028,15211.537388365692,9.22415828704834,0,2.828427076339721,2.079441547393799,0.232113659381866,Zero-init top-1 (rejected),7.86432
70,2240,9175040,4.116428852081299,3.799866199493408,6.330934524536133,0.130405023694038,0.99559191373535,16043.58271480533,15325.077750320877,9.22415828704834,0,2.828427076339721,2.079441547393799,0.15914590656757302,Zero-init top-1 (rejected),9.17504
10,320,1310720,3.599411487579345,3.309576272964477,5.788245677947998,0.12768021225929202,0.9999388899385641,12203.294519349003,12203.294519349003,9.22061824798584,0,0.33145743608474704,2.07428240776062,4.229869842529297,"Straight-through, loss-free",1.31072
20,640,2621440,4.208649635314941,3.902358055114746,6.117411613464355,0.12912930548191,0.999690658759632,15654.424517830568,13715.089355811499,9.22135066986084,0,0.24312110245227803,2.069955110549926,4.203338623046875,"Straight-through, loss-free",2.62144
30,960,3932160,3.602217197418213,3.310530662536621,5.825339317321777,0.12399268895387601,0.9992515923451931,15648.726653543574,14304.258657326745,9.22379207611084,0,0.24651566147804202,2.067469358444214,4.194581985473633,"Straight-through, loss-free",3.93216
40,1280,5242880,3.998506307601928,3.693809032440185,6.085591316223144,0.12877471745014102,0.9986218770218691,12196.01055914677,13711.69491315621,9.22379207611084,0,0.26080510020256004,2.062635660171509,4.175799369812012,"Straight-through, loss-free",5.24288
50,1600,6553600,3.795696258544922,3.4961342811584473,5.982933044433594,0.127973765134811,0.9978017800219671,16040.893918901005,14121.802844946933,9.22379207611084,0,0.425030291080474,2.055465459823608,4.152241706848144,"Straight-through, loss-free",6.5536
60,1920,7864320,3.8829352855682373,3.580718517303467,6.036057472229004,0.12751939892768802,0.996791649370071,15593.125002992389,14347.433225990137,9.22379207611084,0,0.47874736785888605,2.047303915023803,4.139961242675781,"Straight-through, loss-free",7.86432
70,2240,9175040,4.102413177490234,3.7860913276672363,6.318173408508301,0.125782966613769,0.99559191373535,15746.758719251453,14531.91453358851,9.22379207611084,0,0.506108343601226,2.035742044448852,4.129361152648926,"Straight-through, loss-free",9.17504
10,320,1310720,3.609526395797729,3.309482097625732,5.788164138793945,0.13031929731369002,0.9999388899385641,11973.395889345495,11973.395889345495,9.22061824798584,0,0.261697739362716,2.077739477157592,4.331296920776367,Straight-through + balance (selected),1.31072
20,640,2621440,4.21860933303833,3.902123212814331,6.11749267578125,0.129037320613861,0.999690658759632,15663.073552113445,13571.93478571125,9.22135066986084,0,0.135303735733032,2.076733112335205,4.344742298126221,Straight-through + balance (selected),2.62144
30,960,3932160,3.612752199172973,3.310961246490478,5.8252153396606445,0.12452817708253801,0.9992515923451931,15509.738032759687,14161.728622560775,9.22379207611084,0,0.11154169589281,2.075477600097656,4.340020656585693,Straight-through + balance (selected),3.93216
40,1280,5242880,4.00839376449585,3.693565368652343,6.085970878601074,0.12764212489128102,0.9986218770218691,11587.172177330942,13416.476144201497,9.22379207611084,0,0.103483654558658,2.073757410049438,4.339369297027588,Straight-through + balance (selected),5.24288
50,1600,6553600,3.807260274887085,3.49761152267456,5.9807329177856445,0.13287577033042902,0.9978017800219671,15131.341068027992,13727.632104230455,9.22379207611084,0,0.125320881605148,2.071506261825561,4.341403007507324,Straight-through + balance (selected),6.5536
60,1920,7864320,3.8932526111602783,3.5807197093963623,6.036690711975098,0.125251084566116,0.996791649370071,13882.883282594423,13753.265716804819,9.22379207611084,0,0.106420956552028,2.069235801696777,4.341728210449219,Straight-through + balance (selected),7.86432
70,2240,9175040,4.113555431365967,3.787123203277588,6.317158222198486,0.126318365335464,0.99559191373535,14427.177857256242,13845.658375837844,9.22379207611084,0,0.067460052669048,2.06771969795227,4.347772598266602,Straight-through + balance (selected),9.17504
