variant,seed,step,selected,rows,corpus_chrfpp,macro_chrfpp,worst_dialect_chrfpp,corpus_sacrebleu,macro_sacrebleu,corpus_ter,cer,wer,exact_match,chrf_signature,bleu_signature,ter_signature,replay_nll,baseline_replay_nll,replay_relative_degradation,replay_guard_pass
M0,1701,117,False,4289,45.02381719746996,40.169173569743094,30.950368511691266,21.920664040572476,17.955363890572553,74.87625209494485,0.5729393352213444,0.7392874733212937,0.08929820470972255,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.810116401041852,3.756948042351618,0.01415200798384042,True
M0,1701,156,False,4289,45.31164374212425,40.831331491215764,30.438316662016284,22.84223580951806,18.486027477053756,71.17745644463498,0.5415039499180205,0.7031686094237399,0.08999766845418512,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.804105898941707,3.756948042351618,0.01255217161868738,True
M0,1701,195,False,4289,45.907591907939434,40.769116649329064,30.303150350556752,23.127468806112102,18.137738970156377,70.7799041197334,0.5573110746758086,0.716384830077163,0.09442760550244812,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.7974287277314454,3.756948042351618,0.010774885604882822,True
M0,1701,232,True,4289,46.2091519054419,41.185891991833344,31.910084290999404,23.686443812052563,18.56285427440283,69.09615309662081,0.5322700849605008,0.6959858808077491,0.09722546048029844,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.793478953781099,3.756948042351618,0.009723560458561709,True
M0,1701,39,False,4289,44.55932401089815,40.5479209187551,30.474543849346215,22.131579913314926,19.174536537390274,73.73426355380597,0.5769414219704874,0.7324330980134625,0.09186290510608533,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.7929856523461307,3.756948042351618,0.009592256690341472,True
M0,1701,78,False,4289,44.8801849078241,41.01921123429269,30.422313147948525,21.291797926051178,18.939624290481202,78.57115017344195,0.6103443136085854,0.7621490724019044,0.09559337840988576,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.808071495320619,3.756948042351618,0.013607708276157204,True
M0,2903,117,False,4289,45.09142973485075,40.698825851082304,31.044411860626003,22.240099641713176,18.549312681119098,70.93190942043107,0.5493292592040543,0.7224183221145953,0.08859874096525996,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.810989866184469,3.7569039948048766,0.014396394332776064,True
M0,2903,156,False,4289,45.60359242711425,41.045612629300976,31.109744876186422,22.394840669691742,18.702978858814685,71.47756947421756,0.5520792964674318,0.7224593662781152,0.09559337840988576,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.8053706869401447,3.7569039948048766,0.012900700204820037,True
M0,2903,195,True,4289,45.750568176292774,41.23234147216442,32.18355189784695,22.35013166864021,18.653781264856867,72.10507853607203,0.5697570427783575,0.7311607289443441,0.09652599673583585,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.7992815962935658,3.7569039948048766,0.011279926648988026,True
M0,2903,232,False,4289,45.61429891392736,41.14344136838743,31.857944288994204,22.294066364694565,18.69056544701558,73.36789180340648,0.5775152779847965,0.7356755869315383,0.09489391466542317,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.794530466241646,3.7569039948048766,0.010015286919442312,True
M0,2903,39,False,4289,44.153587837737476,40.06602601224631,30.069746065972385,21.728396176786635,18.13508342750181,73.54718010679346,0.5784692204501416,0.7460187161385651,0.08556773140592212,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.79376818352106,3.7569039948048766,0.009812385082812902,True
M0,2903,78,False,4289,44.5184125253833,40.08543415832694,28.842597738101027,21.506503455113002,18.019348201977156,74.12402073508204,0.5783797883440155,0.7482351009686422,0.09302867801352296,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.812043063970913,3.7569039948048766,0.014676730957800421,True
