global_step,microbatch,tokens_seen,loss,lm_loss,mtp_loss,gradient_norm,lr_scale,interval_tokens_per_second,overall_tokens_per_second,peak_memory_gib,model,phase,tokens_millions,smoothed_lm_loss,bank_constraint_strength,router_load_cv,router_entropy,router_z_loss
10,640,2621440,10.17921257019043,9.664138793945312,10.301475524902344,1.4808481931686401,0.43478260869565205,24989.302831005585,24989.302831005585,5.091156005859375,F dense,foundation,2.62144,9.664138793945312,,,,
20,1280,5242880,9.147047996520996,8.688334465026855,9.174261093139648,1.065856456756591,0.8695652173913041,25444.71381239918,25214.95217809359,5.091156005859375,F dense,foundation,5.24288,9.176236629486084,,,,
30,1920,7864320,8.24571704864502,7.830619812011719,8.301959991455078,0.554923295974731,0.999936497790584,25021.497726837217,25150.135837885427,5.091156005859375,F dense,foundation,7.86432,8.727697690327963,,,,
40,2560,10485760,7.468790054321289,7.076283931732178,7.850127696990967,0.367773592472076,0.9995484936351621,25159.30154840823,25152.426639371697,5.091156005859375,F dense,foundation,10.48576,8.314844250679016,,,,
50,3200,13107200,7.691565990447998,7.285456657409668,8.122197151184082,0.267203092575073,0.9988080681347241,24755.95180524528,25072.118968010556,5.091156005859375,F dense,foundation,13.1072,8.108966732025147,,,,
60,3840,15728640,6.910094261169434,6.513956069946289,7.922776222229004,0.22951604425907102,0.9977158017422241,24791.810225813762,25024.961489963825,5.091156005859375,F dense,foundation,15.72864,7.478930187225342,,,,
70,4480,18350080,6.85386848449707,6.4600677490234375,7.876011371612549,0.22790677845478002,0.9962725507345621,24790.331429857713,24991.171357742434,5.091156005859375,F dense,foundation,18.35008,7.033276844024658,,,,
80,5120,20971520,6.733202934265137,6.344301223754883,7.778032302856445,0.288708686828613,0.994479446541316,24695.012055770316,24953.763554603793,5.091156005859375,F dense,foundation,20.97152,6.736013126373291,,,,
90,5760,23592960,6.595767498016357,6.214593410491943,7.62347412109375,0.17563144862651803,0.992337894857755,24904.2746079713,24948.25507203172,5.091156005859375,F dense,foundation,23.59296,6.563675022125244,,,,
100,6400,26214400,6.421952247619629,6.045786380767822,7.5233154296875,0.255036175251007,0.989849574542858,21974.07636065663,24615.091215359425,5.091156005859375,F dense,foundation,26.2144,6.315740966796875,,,,
