label_id,dialect,precision,recall,f1,support,variant,seed
0,BAR,0.8132387706855791,0.8329297820823245,0.8229665071770335,413,M0,1701
1,CHI,0.9465725806451613,0.9432446007031644,0.9449056603773583,1991,M0,1701
2,KHU,0.6142857142857143,0.5,0.5512820512820513,86,M0,1701
3,KIS,0.7226107226107226,0.7779171894604768,0.7492447129909365,797,M0,1701
4,MYM,0.8055555555555556,0.7682119205298014,0.7864406779661017,302,M0,1701
5,NAR,0.7880952380952381,0.7653179190751445,0.7765395894428152,865,M0,1701
6,NOA,0.9247311827956988,0.6615384615384615,0.7713004484304933,260,M0,1701
7,NSD,0.7093690248565966,0.6440972222222222,0.6751592356687898,576,M0,1701
8,RAJ,0.782051282051282,0.6703296703296703,0.7218934911242604,91,M0,1701
9,RAN,0.7492917847025495,0.7779411764705882,0.7633477633477633,680,M0,1701
10,STD,0.8966539601863617,0.9404709018214128,0.9180398959236774,2251,M0,1701
11,SYL,0.9090909090909092,0.8955223880597015,0.9022556390977444,1407,M0,1701
12,TAN,0.6504672897196262,0.6705202312138728,0.6603415559772297,519,M0,1701
0,BAR,0.868766404199475,0.801452784503632,0.8337531486146096,413,M0,2903
1,CHI,0.9529170931422722,0.9352084379708688,0.9439797211660328,1991,M0,2903
2,KHU,0.5,0.3604651162790697,0.4189189189189189,86,M0,2903
3,KIS,0.7642585551330798,0.7565872020075283,0.7604035308953342,797,M0,2903
4,MYM,0.7694805194805194,0.7847682119205298,0.7770491803278688,302,M0,2903
5,NAR,0.7645714285714286,0.7734104046242775,0.7689655172413793,865,M0,2903
6,NOA,0.8,0.7846153846153846,0.7922330097087379,260,M0,2903
7,NSD,0.6898496240601504,0.6371527777777778,0.6624548736462094,576,M0,2903
8,RAJ,0.72,0.7912087912087912,0.7539267015706806,91,M0,2903
9,RAN,0.7820710973724884,0.7441176470588236,0.7626224566691786,680,M0,2903
10,STD,0.8965371621621622,0.9431363838294092,0.9192465901710328,2251,M0,2903
11,SYL,0.8863636363636364,0.9147121535181236,0.9003147953830011,1407,M0,2903
12,TAN,0.6504854368932039,0.6454720616570327,0.6479690522243714,519,M0,2903
0,BAR,0.8436018957345972,0.8619854721549637,0.8526946107784431,413,M0,4307
1,CHI,0.9394240317775572,0.9502762430939228,0.9448189762796504,1991,M0,4307
2,KHU,0.5084745762711864,0.3488372093023256,0.4137931034482758,86,M0,4307
3,KIS,0.7316219369894983,0.7867001254705144,0.7581620314389359,797,M0,4307
