candidate_id,dialect,rows,tokens,characters,bytes,unk_tokens,tokens_per_character,tokens_per_byte,mean_fertility,p95_tokens,roundtrip_exact_rate,canonical_roundtrip_exact_rate
wordpiece_natural_16k,BAR,739.0,4703.0,21239.0,57032.0,1.0,0.22143227082254344,0.0824624772057792,1.2115520286359258,11.0,0.7388362652232747,0.9972936400541272
wordpiece_natural_16k,CHI,3553.0,30369.0,124460.0,333974.0,0.0,0.2440061063795597,0.09093222825728949,1.3667401432467707,19.0,0.537573881227132,0.9946524064171123
wordpiece_natural_16k,KHU,158.0,944.0,3841.0,10237.0,0.0,0.24576933090341058,0.09221451597147602,1.2676712879244525,9.150000000000006,0.569620253164557,1.0
wordpiece_natural_16k,KIS,797.0,5221.0,21574.0,57984.0,0.0,0.2420042643923241,0.09004208057395144,1.2840469635037686,15.0,1.0,1.0
wordpiece_natural_16k,MYM,333.0,2144.0,9921.0,26631.0,0.0,0.21610724725330108,0.08050767902069017,1.180906905906906,11.0,0.8078078078078078,0.996996996996997
wordpiece_natural_16k,NAR,945.0,6855.0,28545.0,76241.0,0.0,0.24014713610089333,0.08991225193793366,1.2484912917282853,15.0,0.9259259259259259,1.0
wordpiece_natural_16k,NOA,265.0,1878.0,7717.0,20667.0,0.0,0.24335881819359856,0.09086950210480477,1.3064110941469431,12.0,0.8113207547169812,1.0
wordpiece_natural_16k,NSD,576.0,4552.0,19520.0,52376.0,0.0,0.2331967213114754,0.08691003513059417,1.2761328484330456,18.0,1.0,1.0
wordpiece_natural_16k,RAJ,91.0,624.0,2671.0,7227.0,0.0,0.23362036690378135,0.08634288086342881,1.3060613379294697,12.0,1.0,1.0
wordpiece_natural_16k,RAN,767.0,5419.0,22124.0,59010.0,0.0,0.24493762429940336,0.09183189289950856,1.2532809705447951,15.699999999999932,0.8904823989569752,1.0
wordpiece_natural_16k,STD,126.0,807.0,3783.0,10159.0,0.0,0.21332275971451228,0.0794369524559504,1.1254426349664446,11.0,1.0,1.0
