candidate_id,seeds,mean_bpc,std_bpc,mean_worst_dialect_bpc,std_worst_dialect_bpc,mean_tokens_per_second,mean_peak_memory_gib,total_parameters,vocab_size,tokens_per_character,intrinsic_score,passes_global_bpc_gate,passes_token_cost_gate,selected
byte_bpe_balanced_16k,3,3.380726296487405,0.011292132063982819,3.593360006170227,0.023135527681318192,153303.58099052066,1.6270836194356282,6576128,7240,0.6859021884185645,1.0514052010167985,False,False,False
unigram_balanced_32k,3,2.7481992502098174,0.011372954895585303,2.951750304483038,0.012932322798258709,72810.75579230752,4.341004848480225,12914688,32000,0.2383245092993978,0.387319195235451,False,True,False
wordpiece_balanced_32k,3,2.667543594117868,0.002251041067779632,2.889847523906728,0.011891900379248558,71745.5200152402,4.340923468271892,12914688,32000,0.2268343669228107,0.3735433685954967,True,True,False
wordpiece_natural_32k,3,2.6599989051736768,0.0088305202424634,2.8752948773329656,0.012762337783251579,74345.49137851014,4.341004848480225,12914688,32000,0.2244997048963939,0.3686886942991902,True,True,True
