candidate_id,source,optimizer_step,macro_chrfpp,worst_dialect_chrfpp,replay_degradation_percent,replay_guard_pass,selected_schedule,selected_checkpoint
rejected_default,pre_pilot_failure_curve,76,41.004228103140406,30.430387923110885,12.629296059848215,False,False,False
rejected_default,pre_pilot_failure_curve,152,43.06491915014631,31.637876212813488,16.839241502051337,False,False,False
rejected_default,pre_pilot_failure_curve,228,44.71351579904167,34.21441431129442,15.909657554711698,False,False,False
rejected_default,pre_pilot_failure_curve,301,44.519148454653546,33.72040650024907,14.74313385948478,False,False,False
ret25_balanced,registered_candidate,44,41.15796108953082,31.917467821672645,1.336498238231676,True,False,False
ret25_balanced,registered_candidate,88,41.08094361043949,31.159675591981,1.966650493505706,True,False,False
ret25_balanced,registered_candidate,132,40.86752835572425,29.828687494502905,2.152499428429988,True,False,False
ret25_balanced,registered_candidate,176,41.0653544889488,30.321276129472775,2.093097087156437,True,False,False
ret25_balanced,registered_candidate,220,41.01638763187246,30.0016381041816,1.959831503841114,True,False,False
ret25_balanced,registered_candidate,259,40.90124183545463,28.44692942734613,1.8620730534298469,True,False,False
ret25_conservative,registered_candidate,44,40.69332460302278,30.062053942684308,0.612620261344965,True,False,False
ret25_conservative,registered_candidate,88,40.752785768572366,31.04004717960513,0.8058173468485919,True,False,False
ret25_conservative,registered_candidate,132,41.07168151663069,30.621387951599168,0.8305015058329923,True,False,False
ret25_conservative,registered_candidate,176,40.77262258694476,29.60432567487188,0.8463410558815943,True,False,False
ret25_conservative,registered_candidate,220,40.759005222686866,30.15035331134542,0.8186600604737304,True,False,False
ret25_conservative,registered_candidate,259,41.06529697142514,30.06947369935996,0.7924979528767473,True,False,False
ret35_balanced,registered_candidate,39,40.5479209187551,30.474543849346215,0.9592256690341472,True,True,False
ret35_balanced,registered_candidate,78,41.01921123429269,30.422313147948525,1.3607708276157204,True,True,False
ret35_balanced,registered_candidate,117,40.169173569743094,30.950368511691266,1.415200798384042,True,True,False
ret35_balanced,registered_candidate,156,40.831331491215764,30.438316662016284,1.255217161868738,True,True,False
ret35_balanced,registered_candidate,195,40.769116649329064,30.303150350556752,1.0774885604882822,True,True,False
ret35_balanced,registered_candidate,232,41.185891991833344,31.910084290999404,0.9723560458561709,True,True,True
ret35_conservative,registered_candidate,39,40.02031979012904,30.728569397055374,0.39489645856116695,True,False,False
ret35_conservative,registered_candidate,78,40.52374594253452,29.606229345541813,0.5018886580542281,True,False,False
ret35_conservative,registered_candidate,117,40.48462154750293,29.81068833957421,0.4318643369039865,True,False,False
ret35_conservative,registered_candidate,156,40.74525016118728,31.284880969193402,0.36181627972917685,True,False,False
ret35_conservative,registered_candidate,195,40.586005632325325,31.0179613093686,0.30311709096335626,True,False,False
ret35_conservative,registered_candidate,232,40.58946149168732,31.149588219179776,0.2674943266001595,True,False,False
