validation_nll,validation_perplexity,validation_bpc,validation_predicted_tokens,global_step,tokens_seen,condition,tokens_millions
3.662293986884915,38.95059261193791,1.230334587924532,1002540,0,0,Banked upcycle,0.0
3.796997051822896,44.5671505021002,1.2755876016056131,1002540,39,5111808,Banked upcycle,5.111808
3.78121459240816,43.8692926997836,1.270285540719731,1002540,77,10092544,Banked upcycle,10.092544
3.761686579062014,43.02092301357065,1.263725174364857,1002540,115,15073280,Banked upcycle,15.07328
3.7570854537341063,42.82343304153002,1.262179442740205,1002540,153,20000768,Banked upcycle,20.000768
4.158506291253226,63.975889847730244,1.3970353397495812,1002540,0,0,Unbanked upcycle,0.0
3.802231932659538,44.80106594977038,1.27734624113047,1002540,39,5111808,Unbanked upcycle,5.111808
3.7704802639630373,43.40090372138884,1.266679381407706,1002540,77,10092544,Unbanked upcycle,10.092544
3.748308291727182,42.449209544628694,1.259230786504631,1002540,115,15073280,Unbanked upcycle,15.07328
3.738306483443902,42.02675685609278,1.255870714725364,1002540,153,20000768,Unbanked upcycle,20.000768
10.476735547124123,35480.39420984753,3.5196218977300573,1002540,0,0,MoE from scratch,0.0
9.110129093637271,9046.462656831785,3.0605153394289,1002540,39,5111808,MoE from scratch,5.111808
8.36513367283101,4294.685782476819,2.810236787967505,1002540,77,10092544,MoE from scratch,10.092544
7.953352083478655,2845.0959831514247,2.671900233374937,1002540,115,15073280,MoE from scratch,15.07328
7.618570569096779,2035.650227791874,2.5594315790241913,1002540,153,20000768,MoE from scratch,20.000768
3.662293986884915,38.95059261193791,1.230334587924532,1002540,0,0,Annealed cross-bank,0.0
3.654970226482469,38.66636986418208,1.227874196768314,1002540,39,5111808,Annealed cross-bank,5.111808
3.651127236230032,38.51806053986715,1.226583157915191,1002540,77,10092544,Annealed cross-bank,10.092544
3.6524355499111882,38.56848722521131,1.227022681224773,1002540,115,15073280,Annealed cross-bank,15.07328
3.761416446919344,43.009303248963946,1.263634424436089,1002540,153,20000768,Annealed cross-bank,20.000768
3.662293986884915,38.95059261193791,1.230334587924532,1002540,0,0,Permanent paired-bank,0.0
3.655346541502037,38.680923338087815,1.228000618455429,1002540,39,5111808,Permanent paired-bank,5.111808
3.65132701445599,38.525756378374005,1.226650272696852,1002540,77,10092544,Permanent paired-bank,10.092544
3.652046231834256,38.55347473844048,1.226891891206968,1002540,115,15073280,Permanent paired-bank,15.07328
3.657498627292866,38.764257642702894,1.228723603992395,1002540,153,20000768,Permanent paired-bank,20.000768
