variant,seed,normalization_raw_macro_chrfpp,normalization_rewrite_macro_chrfpp,normalization_fused_macro_chrfpp,normalization_fused_worst_dialect_chrfpp,normalization_selected_neural_fraction,identification_raw_regional_macro_f1,identification_fused_regional_macro_f1,identification_fused_ece_15
M2,1701,41.72801121042136,50.00526014259165,54.85790488785544,36.37813657754152,0.4784332012124038,0.7533386836217163,0.8046200764999353,0.0488513778078667
M2,2903,42.02153196041707,50.00526014259165,55.0155031096422,36.789433551962254,0.4723711820937281,0.7555390633477385,0.7980345546812271,0.0400182755912944
M2,4307,42.10328101050355,50.00526014259165,55.101636448802296,35.74978212559562,0.4786663557938913,0.7694467247197595,0.7984243749120141,0.0401978613586422
M3,1701,40.57730504653903,50.00526014259165,54.51428624134302,36.38354809107533,0.4579155980415015,0.7529187697249647,0.7986470485740832,0.0467149148170499
M3,2903,40.25301751074967,50.00526014259165,54.40596118766316,36.055427898362815,0.4653765446491023,0.7535469046138868,0.7942227232599562,0.0465806666989495
M3,4307,39.69577720636692,50.00526014259165,54.12102257840991,35.258204686600244,0.4436931685707624,0.7465634726302675,0.7961107564400761,0.045487001498715
