model_id,total_parameters,active_parameters_per_token,tokens_per_second,peak_memory_gib
M0_DENSE,83787290,83787290,15336.581239961102,2.8276925086975098
M1_SWITCH,381107738,83836442,5211.054447974432,5.69047212600708
M2_STANDARD_MOE,168771098,83836442,8272.47811507647,3.837990283966065
M3_BOICHITRO,168794695,83860039,8224.138532027602,3.8447422981262207
