dialect,train,validation,test,test_ood
BAR,3135,333,491,608
CHI,14564,1706,1879,2096
KHU,817,89,101,0
MYM,2148,250,375,1384
NAR,1067,101,101,0
NOA,2149,249,373,1400
RAJ,0,0,0,1387
RAN,1264,159,127,0
SYL,14478,1402,1586,2104
