task,paired_mean_gain,confidence_lower_95,confidence_upper_95,randomization_p_two_sided,bootstrap_replicates,randomization_replicates
normalization,2.661748231913858,2.0857505184342875,3.268362326958343,0.0001999600079984003,5000,5000
identification,0.039047407106160836,0.030924662822691826,0.047896727002659865,0.0001999600079984003,5000,5000
