path,bytes,sha256,status
runs/task/boichitro_bidirectional_id_v1/M3B_BIDIR/2903/stage_id/training_report.json,5090,5124887a9ca1e8b609ac8519d1d239b4cfe1ebf66e89fb47c28d9e3aba7f8fec,COMPLETE
runs/task/boichitro_bidirectional_id_v1/M3B_BIDIR/2903/stage_mntp/training_report.json,4985,0f60105af2a8812b6a3c3675385741faadd157169daf17f27e399bfd3455e2a8,COMPLETE
runs/task/boichitro_bidirectional_id_v1/M3B_BIDIR/4307/stage_mntp/training_report.json,4967,a9fa2be998a2a2791e5e834a550051460a9e07b0d0cb18848d783a8c5f3a27f7,COMPLETE
runs/task/boichitro_q1_v1/M0__base/1701/stage_a/training_report.json,5354,f41e5b8a88224bc045f412117a2af297fcf9b5ec940cc64449eb6ea717a69cae,COMPLETE
runs/task/boichitro_q1_v1/M0__base/1701/stage_id/training_report.json,5136,47f1b6b79ac9d7ac586b64a3340959600d918c3893789f4b8ee63926d29d4799,COMPLETE
runs/task/boichitro_q1_v1/M0__base/1701/stage_s/training_report.json,5400,2d2a1fbd5da695ac3c734c0ca59dca4235899cf7bd736e4be1211b70da56b46c,COMPLETE
runs/task/boichitro_q1_v1/M0__base/2903/stage_a/training_report.json,5352,0f729b7b673a88ceafe111ea75954a06c9a56ad54b123950b059cb34aa14d6f5,COMPLETE
runs/task/boichitro_q1_v1/M0__base/2903/stage_id/training_report.json,5126,7c62bb9ffa360c662b89b73bfa8f1883da1a64b096e4874a242ef100e1e95065,COMPLETE
runs/task/boichitro_q1_v1/M0__base/2903/stage_s/training_report.json,5396,254590a4298caeaef955dde3f177b80448672323ab17339e1ed89878d7f210e9,COMPLETE
runs/task/boichitro_q1_v1/M0__base/4307/stage_a/training_report.json,5358,bd3a4b69d78cf6f2cc3988d36ebf19c37c33d51557a02f28e9e8adff8fcd9766,COMPLETE
runs/task/boichitro_q1_v1/M0__base/4307/stage_id/training_report.json,5224,54cacfcd3df92c0acbd69b2252c00a5132d8980accc7f18e638d8c23aa6175f1,COMPLETE
runs/task/boichitro_q1_v1/M0__base/4307/stage_s/training_report.json,5394,fdcfdc339067de5f7ea8c9443054b429458b2e15e2ef020af69013b419999b3e,COMPLETE
runs/task/boichitro_q1_v1/M1__base/1701/stage_a/training_report.json,775,1a9a8d874c5d9d3d47262bb75058b15913e75bbbcc64fe9afa861b3cae5244e5,COMPLETE
runs/task/boichitro_q1_v1/M1__base/1701/stage_id/training_report.json,824,0c4a0c30c44b06068857afef222c774035f952d371141168f6a59a0f904fa618,COMPLETE
runs/task/boichitro_q1_v1/M1__base/1701/stage_s/training_report.json,800,21fe8e7cc2a9ba5dcaac2f30ba7192a74e996d4fc5e48173810049b245baa1ab,COMPLETE
runs/task/boichitro_q1_v1/M1__base/2903/stage_a/training_report.json,775,708258dc23294d306ccd9642f436e03c371e963e5c9ace6bf4e41f07ae715354,COMPLETE
