path,category,extension,bytes,human_size,modified,inode,hardlink_count,documentation_preservation
artifacts/tokenizers/candidates/unigram_balanced_32k/metadata.json,artifact,.json,842,842.00 B,2026-07-19T23:48:47.146959+09:00,26215194,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/unigram_balanced_32k/selection_metrics.json,artifact,.json,1032,1.01 KiB,2026-07-19T23:52:55.919349+09:00,26215197,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/unigram_balanced_32k/selection_metrics_by_dialect.csv,artifact,.csv,1888,1.84 KiB,2026-07-19T23:52:55.918769+09:00,26215196,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/unigram_balanced_32k/selection_metrics_by_row.parquet,artifact,.parquet,810201,791.21 KiB,2026-07-19T23:52:55.917769+09:00,26215195,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/unigram_balanced_32k/tokenizer.json,artifact,.json,2380114,2.27 MiB,2026-07-19T23:48:47.139125+09:00,26215193,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_16k/metadata.json,artifact,.json,846,846.00 B,2026-07-19T23:48:38.330608+09:00,26215164,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_16k/selection_metrics.json,artifact,.json,1015,"1,015.00 B",2026-07-19T23:52:53.979397+09:00,26215167,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_16k/selection_metrics_by_dialect.csv,artifact,.csv,2061,2.01 KiB,2026-07-19T23:52:53.978773+09:00,26215166,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_16k/selection_metrics_by_row.parquet,artifact,.parquet,812268,793.23 KiB,2026-07-19T23:52:53.977773+09:00,26215165,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_16k/tokenizer.json,artifact,.json,498462,486.78 KiB,2026-07-19T23:48:38.326132+09:00,26215163,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_24k/metadata.json,artifact,.json,846,846.00 B,2026-07-19T23:48:39.937791+09:00,26215170,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_24k/selection_metrics.json,artifact,.json,1018,"1,018.00 B",2026-07-19T23:52:54.307441+09:00,26215173,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_24k/selection_metrics_by_dialect.csv,artifact,.csv,2060,2.01 KiB,2026-07-19T23:52:54.306772+09:00,26215172,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_24k/selection_metrics_by_row.parquet,artifact,.parquet,809629,790.65 KiB,2026-07-19T23:52:54.305772+09:00,26215171,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_24k/tokenizer.json,artifact,.json,773963,755.82 KiB,2026-07-19T23:48:39.931131+09:00,26215169,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_32k/metadata.json,artifact,.json,846,846.00 B,2026-07-19T23:48:41.691927+09:00,26215176,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_32k/selection_metrics.json,artifact,.json,1016,"1,016.00 B",2026-07-19T23:52:54.638783+09:00,26215179,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_32k/selection_metrics_by_dialect.csv,artifact,.csv,2070,2.02 KiB,2026-07-19T23:52:54.638674+09:00,26215178,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_32k/selection_metrics_by_row.parquet,artifact,.parquet,809082,790.12 KiB,2026-07-19T23:52:54.636771+09:00,26215177,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_balanced_32k/tokenizer.json,artifact,.json,1050995,1.00 MiB,2026-07-19T23:48:41.687129+09:00,26215175,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_16k/metadata.json,artifact,.json,843,843.00 B,2026-07-19T23:48:33.204612+09:00,26215146,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_16k/selection_metrics.json,artifact,.json,1015,"1,015.00 B",2026-07-19T23:52:52.978568+09:00,26215149,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_16k/selection_metrics_by_dialect.csv,artifact,.csv,2073,2.02 KiB,2026-07-19T23:52:52.977775+09:00,26215148,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_16k/selection_metrics_by_row.parquet,artifact,.parquet,812001,792.97 KiB,2026-07-19T23:52:52.975775+09:00,26215147,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_16k/tokenizer.json,artifact,.json,497360,485.70 KiB,2026-07-19T23:48:33.200136+09:00,26215145,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_24k/metadata.json,artifact,.json,843,843.00 B,2026-07-19T23:48:34.973859+09:00,26215152,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_24k/selection_metrics.json,artifact,.json,1017,"1,017.00 B",2026-07-19T23:52:53.325478+09:00,26215155,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_24k/selection_metrics_by_dialect.csv,artifact,.csv,2044,2.00 KiB,2026-07-19T23:52:53.324774+09:00,26215154,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_24k/selection_metrics_by_row.parquet,artifact,.parquet,809571,790.60 KiB,2026-07-19T23:52:53.323774+09:00,26215153,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_24k/tokenizer.json,artifact,.json,767636,749.64 KiB,2026-07-19T23:48:34.968134+09:00,26215151,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_32k/metadata.json,artifact,.json,843,843.00 B,2026-07-19T23:48:36.845783+09:00,26215158,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_32k/selection_metrics.json,artifact,.json,1017,"1,017.00 B",2026-07-19T23:52:53.652789+09:00,26215161,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_32k/selection_metrics_by_dialect.csv,artifact,.csv,2046,2.00 KiB,2026-07-19T23:52:53.652672+09:00,26215160,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_32k/selection_metrics_by_row.parquet,artifact,.parquet,808749,789.79 KiB,2026-07-19T23:52:53.650773+09:00,26215159,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/wordpiece_natural_32k/tokenizer.json,artifact,.json,1048711,1.00 MiB,2026-07-19T23:48:36.841133+09:00,26215157,1,indexed_only_not_preserved
artifacts/tokenizers/frozen/metadata.json,artifact,.json,843,843.00 B,2026-07-19T23:48:36.845783+09:00,26215289,1,copied_frozen_tokenizer_metadata
